CONTRACTOR's INTERIM PAYMENT APPLICATION,,,,,,,,,ENGINEER'S CERTIFICATE NO. 01,,,,,,,
,,,,,,,,,,,,,,,,
Project Name,: REHABILITATION OF THE A-017 ROAD ,,,,Statement No,,: 03,,,,,,,,,
,  CORRIDOR PROJECT (SURIYAKANDA - RAKWANA),,,,,,,,,,,,,,,
,  SECTION FROM CH. 112+600 KM TO CH. 118+600 KM,,,,Valuation Period Ending,,: 31st December 2022,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Contract No:,: RDA/MFAP/ICB/OFID-04(A),,,,Submission Date,,: 10th January 2022,,,,,,,,,
,,,,,,,,,,,,,,,,
Employer,: Road Development Authority,,,,Commencement Date ,,: 17th October 2022,,,,,, ,,,
,,,,,,,,,,,,,,,,
Engineer,: ,,,,Contract Price  ,,": Rs. 1,825,518,210.94",,,,,,,,,
,,,,,,,,,,,,,,,,
Contractor,: Consulting Engineers & Contractors (Pvt) Ltd.,,,,Minimum Amount of IPC,,": Rs. 54,765,546.33",,,,,,,,,
,,,,,,,,,,,,,,,,
Payment A/C No.,: 004100630000738,,,,Limit of Retention   ,,": Rs. 91,275,910.55",," 91,275,910.55 ",,,,,,,
,,,,,,,,,6-Sep-22,4-Oct-22,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. Amount of Advance Payment paid to the Contractor (Clause 14.2 of PCC ),,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
2. Value of Works executed and all other matters payable (Sub Clause 14.3(a) & (f) GCC,,,,,,,#REF!,,,,,,,,,
    and Sub Clause 13.7 -GCC but not including Item 3 and 7 below.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3. ADD/DEDUCT Contract Price Fluctuation ,,,,(Clause 13.8 of PCC),,,#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,
4. Value of Works after Contract Price Fluctuation [2+3],,,,,,,#REF!,,,,,,,,,
,,,,,,,    ,,,,,,,,,
5. DEDUCT Retention Money @ 10%  (Sub Clause 14.2(d) PCC[ Limit : 5% of Contract Price]),,,,,,,#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,
6. NET Valuation [4-5],,,,,,,#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,
7. ADD 80% of Materials on Site  [Sub Clause14.5(c)(1) GCC ],,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
8. Gross Valuation [6+7],,,,,,,#REF!,,,,,,,,,
,,,,,,,,,,,,1047101654,,,,
9. DEDUCT Cumulative Gross Value of Paid previous Interim Certificate 14.3(g)-GCC,,,,,,,#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,
10. Gross Amount of this Interim Certificate [8-9],,,,,,,#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,
11. Release of  Retention Money  [Sub Clause (14.9)],,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
12. DEDUCT Recovery of Advance Payment  [Sub Clause 14.2(d) PCC],,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
13. NET AMOUNT of this Interim Certificate after release of ,,,,,,,#REF!,," 110,581,924.74 ",,,,,,,
      Retention money and recovery of advance payment [10+11-12],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14. Value Added Tax [15%],,,,,,,#REF!,, -   ,,,,,,,
,,,,,,,,,,,,,,,,
15. AMOUNT FOR PAYMENT FOR THIS CERTIFICATE [13 + 14],,,,,,,#REF!,," 568,043,871.33 ",,,,,,,
,,,,,,,,,,,,,,,,
16. Previous cumulative recovery of Advance payment,,,,,,, -   ,, -   ,,,,,,,
,,,,,,,,,,,,,,,,
17. Recovery  of Advance payment from this IPC,,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
18. Balance of Advance Payment to be recovered [1-(16+17)],,,,,,, -   ,,,,,,,,,
,,,,,,,,,,,,,,,,
Prepared By,,,,,,,Submitted by,,,,,,,,,
,,,,,,,,,,,,,,,,
J Garusinghe,,,,,,,WA Premarathna,,,,,,,,,
Quantity Surveyor,,,,,,,Project Manager,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
