Task ID,Task_Summary_Name,Start_Date,Finish_Date,Duration,Predecessors
1,,2022 October 17 8:00 AM,2024 October 16 12:00 PM,533 days,
1.1,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 October 17 8:00 AM,2022 October 17 8:00 AM,0 days,
1.2,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 October 17 8:00 AM,2023 September 25 12:00 PM,250 days,
1.2.1,Contractors mobilization,2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,2
1.2.2,Contractors mobilization,2022 October 17 8:00 AM,2023 September 25 12:00 PM,250 days,2
1.2.3,Contractors mobilization,2023 March 23 1:00 PM,2023 May 17 12:00 PM,30 days,2FS+120d
1.3,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 November 24 1:00 PM,2022 December 02 5:00 PM,7 days,
1.3.1,Initial Documents Submissions,2022 November 24 1:00 PM,2022 December 02 5:00 PM,7 days,4
1.3.2,Initial Documents Submissions,2022 November 24 1:00 PM,2022 December 02 5:00 PM,7 days,4
1.3.3,Initial Documents Submissions,2022 November 24 1:00 PM,2022 December 02 5:00 PM,7 days,4
1.4,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 October 17 8:00 AM,2024 September 16 12:00 PM,510 days,
1.4.1,Provide Main Laboratory & Equipment,2022 October 17 8:00 AM,2023 January 03 12:00 PM,60 days,2
1.4.2,Provide Main Laboratory & Equipment,2023 January 03 1:00 PM,2024 September 16 12:00 PM,450 days,2FS+60d
1.5,REHABILITATIONOFTHEA017 ROAD CORRIDOR PROJECT(SURIYAKANDA-RAKWANA)SECTION FROM CH.112+600KM TO CH.118+600KM),2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,
1.5.1,Insurance and Bonds,2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,2
1.5.2,Insurance and Bonds,2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,2
1.5.3,Insurance and Bonds,2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,2
1.5.4,Insurance and Bonds,2022 October 17 8:00 AM,2022 November 24 12:00 PM,30 days,2
1.5.5,Insurance and Bonds,2022 October 17 8:00 AM,2022 October 25 12:00 PM,7 days,2
