,,,,,,,,
,Pricing of External Works,,,,,,,
,(Unit of measurement - m3),,,,,,,
,,,,,,,,
,Rate per 1m3,,,,,,,
,,,,,,,,
2A/05,Filling with 150mm thk compacted base course(ABC layer) on existing ground to receive sandy loam filling (95% proctor compaction should be achieved),,,,,,,
,,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,ABC Metal,100.00,Cube," 12,000.00 "," 1,200,000.00 ",*Related to Kundasale Price Quatation,
,,Transport Cost (Wet),100.00,Cube," 3,500.00 "," 350,000.00 ",,
,,Subtotal,,,,1550000,,
,,Add Wastage 5%,,,,77500,,
,,Total material cost,,,,1627500,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,1.00,L.Day," 1,500.00 ",1500,,
,,Skilled Labour,2.00,L.Day," 2,000.00 ",4000,,
,,,,,,0,,
,,Total labour cost,,,,5500,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Motor Grader (65HP),1.00,Day," 26,193.75 ",26193.75,,
,,Roller Chargers ,3.00,Day," 7,016.73 ",21050.19,,
,,Hire of water bowser (6000l),0.13,Day," 10,000.00 ",1300,,
,,Other tools (allow 2.5 precent from labour chargers),,,,137.5,,
,,,,,,,,
,,,,,,,,
,,Total tools and equipment cost,,,,48681.44,,
,,,,,,,,
,D,Total rate for 100 cubes,,,,1681681.44,,
,,,,,,,,
,E,Total net unit rate per 1m3,,,,5936.34,*1cube = 0.353 m3,
,,,,,,,,
,F,Add OH & Profit  27%,,,,1602.81,,
,,,,,,,,
,G,Total gross unit rate ,,,,7539.15,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2A/06,Stander procter test including one number sand cone test for aove item (Approx. 15).,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,,,,,,,
,,Subtotal,,,,0,,
,,Add Wastage 5%,,,,0,,
,,Total material cost,,,,0,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,0.05,L.Day," 2,500.00 ",125,,
,,,,,,,,
,,,,,,,,
,,Total labour cost,,,,125,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Mammoty,0.05,Day, 100.00 ,5,,
,,"Other tools (Digging bar, Pickaxe, Shovel)",1.00,Item, 21.37 ,21.37,,
,,,,,,0,,
,,Transport,0.10,Loads," 5,000.00 ",500,,
,,,,,,0,,
,,,,,,,,
,,Total tools and equipment cost,,,,526.37,,
,,,,,,,,
,D,Total net unit rate,,,,651.37,,
,,,,,,,,
,E,Add OH & Profit  10%,,,,65.137,,
,,,,,,,,
,F,Total gross unit rate,,,,716.507,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2A/09,"Concerete Drain                                                                                                      Concrete cover drain, size 600*600mmstarting depth (Internally) consisting of 50mm thick screed (grade 10), 100mm thick reinforced concrete base ",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,Ready Mix Concrete (G25),,m3," 15,000.00 ",,,
,,Rainforce(10mm dia bars c/c 200mm both ways),,,,,,
,,,,,,,,
,,Subtotal,,,,0,,
,,Add Wastage 5%,,,,0,,
,,Total material cost,,,,0,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,0.80,L.Day," 1,500.00 ",1200,,
,,Skilled labours,,L.Day," 2,000.00 ",,,
,,,,,,,,
,,Total labour cost,,,,1200,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Mammoty,0.80,Day, 100.00 ,80,,
,,"Other tools (Digging bar, Pickaxe, Shovel)",1.00,Item, 21.37 ,21.37,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Total tools and equipment cost,,,,101.37,,
,,,,,,,,
,,Excavation,,,,71290.8,*BSR 2021 D007,
,,Backfilling ,,,,43884,,
,,,,,,,,
,D,Total net unit rate,,,,1301.37,,
,,,,,,,,
,E,Add OH & Profit  10%,,,,130.137,,
,,,,,,,,
,F,Total gross unit rate,,,,1431.507,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2A/11,100mm thick imported red soil level and compacted for prepared for earth surfaces.,,,,,,,
,,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,,,,,,,
,,Subtotal,,,,0,,
,,Add Wastage 5%,,,,0,,
,,Total material cost,,,,0,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,0.20,L.Day," 2,500.00 ",500,,
,,,,,,,,
,,,,,,,,
,,Total labour cost,,,,500,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Mammoty,0.20,Day, 100.00 ,20,,
,,"Other tools (Head Pan, Shovel)",1.00,Item, 14.52 ,14.52,,
,,,,,,0,,
,,Transport,0.30,Loads," 5,000.00 ",1500,,
,,,,,,,,
,,,,,,,,
,,Total tools and equipment cost,,,,1534.52,,
,,,,,,,,
,D,Total net unit rate,,,,2034.52,,
,,,,,,,,
,E,Add OH & Profit  10%,,,,203.452,,
,,,,,,,,
,F,Total gross unit rate,,,,2237.972,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2A/13,Landscaping works                                                                                                                                                                                                                                         ,,,,,,,
,,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,Subtotal,,,,0,,
,,Add Wastage 5%,,,,0,,
,,Total material cost,,,,0,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,0.35,L.Day," 2,500.00 ",875,,
,,,,,,,,
,,,,,,,,
,,Total labour cost,,,,875,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Mammoty,0.35,Day, 100.00 ,35,,
,,"Other tools (Head Pan, Shovel)",1.00,Item, 7.67 ,7.67,,
,,,,,,0,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Total tools and equipment cost,,,,42.67,,
,,,,,,,,
,D,Total net unit rate,,,,917.67,,
,,,,,,,,
,E,Add OH & Profit  10%,,,,91.767,,
,,,,,,,,
,F,Total gross unit rate,,,,1009.437,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Working 1,,,,,,
,,Cost of a head pan,,Rs, 500.00 ,,,
,,Cost of a Shovel,,Rs," 2,300.00 ",,,
,,,,,,,,
,,Total Cost,,Rs," 2,800.00 ",,,
,,,,,,,,
,,No of useful days before diaposal,,Days, 365.00 ,,,
,,,,,,,,
,,,,,,,,
,,Cost per day,,Rs, 7.67 ,,,
5.6,,,,,,,,
,"Filling obtained from excavated material, final thickness of filling not exceeding 500mm with finish thickness of 300mm, with layers of 125mm average depth, backfilling to foundation.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,No:,Descriotion,Qty,Unit, Unit rate (RS) ,Amount (Rs),,
,,,,,,,,
,A,Materials,,,,,,
,,,,,,,,
,,Subtotal,,,,0,,
,,Add Wastage 5%,,,,0,,
,,Total material cost,,,,0,,
,,,,,,,,
,B,Labour,,,,,,
,,Unskilled Labour,0.08,L.Day," 2,500.00 ",200,,
,,,,,,,,
,,,,,,,,
,,Total labour cost,,,,200,,
,,,,,,,,
,C,Tools and equipments,,,,,,
,,Plate Compactor,0.05,Day," 1,500.00 ",75,,
,,"Other tools (Head Pan, Shovel)",1.00,Item, 7.67 ,7.67,,
,,,,,,0,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Total tools and equipment cost,,,,82.67,,
,,,,,,,,
,D,Total net unit rate,,,,282.67,,
,,,,,,,,
,E,Add OH & Profit  10%,,,,28.267,,
,,,,,,,,
,F,Total gross unit rate,,,,310.937,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Working 1,,,,,,
,,Cost of a Head Pan,,Rs, 500.00 ,,,
